data_odczytu,przeplyw,temperatura_zasilania,temperatura_powrotu,roznica_temperatur,moc
31.12.2015 23:55,1273,95.5,61.3,34.18,50.2
31.12.2015 23:40,1249,96.8,64.9,31.88,45.4
31.12.2015 23:25,958,103,63.5,39.5,43
31.12.2015 23:10,1064,100.5,63.6,36.88,44.6
31.12.2015 22:55,996,100.2,60.3,39.88,46.4
31.12.2015 22:40,930,100.5,61.6,38.93,41.2
31.12.2015 22:25,1090,99.9,61.7,38.16,48.1
31.12.2015 22:10,952,98.8,44.7,54.04,59.3
31.12.2015 21:55,917,98.1,58.4,39.71,42
31.12.2015 21:40,973,97.2,63.5,33.69,37.6
31.12.2015 21:25,1087,97.1,56.3,40.8,50.7
31.12.2015 21:10,1223,97.2,63.3,33.84,47.4
31.12.2015 20:55,1215,95.2,63,32.16,44.1
31.12.2015 20:40,1272,93.4,55.3,38.1,56.4
31.12.2015 20:25,870,95.5,60.2,35.28,35.7
31.12.2015 20:10,904,94.5,48,46.5,49.3
31.12.2015 19:55,1207,93.4,37.2,56.14,77.5
31.12.2015 19:40,1172,95.2,60.3,34.88,46.8
31.12.2015 19:25,885,96.7,53.1,43.6,44.9
31.12.2015 19:10,852,95.6,51.9,43.71,42.4
31.12.2015 18:55,1041,93.9,59.9,34.02,40
31.12.2015 18:40,1069,94,37.2,56.8,68.8
31.12.2015 18:25,1044,94.9,48.2,46.67,56.6
31.12.2015 18:10,1010,94,59.2,34.8,40
31.12.2015 17:55,1037,94,49.1,44.8,52.8
31.12.2015 17:40,904,95.6,53.5,42.1,44.2
31.12.2015 17:25,968,94.5,49.7,44.72,49.9
31.12.2015 17:10,968,94.2,52.8,41.49,46.6
31.12.2015 16:55,912,92.8,44.2,48.6,51.7
31.12.2015 16:40,1009,91.7,54.4,37.27,43.1
31.12.2015 16:25,1188,91.8,57.7,34.06,46.3
31.12.2015 16:10,1216,90.1,52.5,37.55,51
31.12.2015 15:55,1251,90.4,52.4,38.03,54.7
31.12.2015 15:40,1058,89.5,53.5,36,43.8
31.12.2015 15:25,937,90.6,36.9,53.63,57.5
31.12.2015 15:10,882,93.8,49.3,44.54,46.3
31.12.2015 14:55,865,92.4,56,36.34,36.1
31.12.2015 14:40,765,92.3,50.6,41.66,36.1
31.12.2015 14:25,782,92.7,53.4,39.26,35.2
31.12.2015 14:10,907,92.4,51.3,41.16,43.1
31.12.2015 13:55,866,92.2,53.7,38.43,37.9
31.12.2015 13:40,801,91.7,53.8,37.88,35.1
31.12.2015 13:25,752,91.6,45.1,46.53,41.9
31.12.2015 13:10,772,91.2,56,35.21,31
31.12.2015 12:55,771,91.4,40.1,51.3,45.9
31.12.2015 12:40,733,90.8,54.5,36.35,30.5
31.12.2015 12:25,772,90.4,42,48.41,43.9
31.12.2015 12:10,975,89.4,57.2,32.22,35.8
